codigo_tabela,cod_produto,variacao,nome_produto,preco,desconto,quantidade_minima,synced_at,origem
023,SCPSSCAJ,200,SUCO COPO CAJU,2.08,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SCPSSLAR,200,SUCO COPO LARANJA 200ML,2.09,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SCPSSMAR,200,SUCO COPO MARACUJA,2.42,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SCPSSUVA,200,NECTAR COPO UVA,2.41,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSABH,900,SUCO GARRAFA ABACAXI COM HORTELA,8.81,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSACE,900,,10.88,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSCAJ,1L7,SUCO GARRAFA CAJU,12.48,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSCAJ,300,SUCO GARRAFA CAJU,3.74,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSCAJ,900,SUCO GARRAFA CAJU,7.8,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSCOC,900,AGUA GARRAFA DE COCO,11.5,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSGOH,900,SUCO GARRAFA GOIABA COM HIBISCO,10.88,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSLAR,1L7,SUCO GARRAFA PASTEURIZADO DE LARANJA,16.5,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
023,SGRSSLAR,300,SUCO GARRAFA PASTEURIZADO DE LARANJA,4.12,0,1,2026-06-25T14:56:51.977093Z,Senior ERP - item existe no Senior e nao existe no sistema
